Country;Total;Uban;Rural;Population_without_electricity_(millions)
Afghanistan ;14.4;22;12;23.3
Albania;95;na;na;na
Algeria ;99.3;100;98;0.2
Andorra;99;na;na;na
Angola ;26.2;38;10.7;12.9
Argentina ;97.2;99.6;70;1.1
Armenia;95;na;na;na
Australia;99;na;na;na
Austria;99;na;na;na
Azerbaijan;95;na;na;na
Bahamas;95;na;na;na
Bahrain ;99.4;100;95;0
Bangladesh ;41;76;28;94.9
Barbados;99;na;na;na
Belarus;95;na;na;na
Belgium;99;na;na;na
Belize;95;na;na;na
Benin ;24.8;48;8.5;7
Bhutan;72;na;na;na
Bolivia ;77.5;98.2;38;2.2
Bosnia and Herzegovina;95;na;na;na
Botswana ;45.4;68;12;1
Brazil ;97.8;99.5;88;4.3
Brunei ;99.7;100;98.6;0
Bulgaria;95;na;na;na
Burkina Faso ;10;25;6.3;13.8
Burundi;3.9;na;na;na
Cambodia ;24;66;12.5;11.2
Cameroon ;29.4;45;9;13.4
Canada;99;na;na;na
Cape Verde;67;na;na;na
Central African Republic;6;na;na;na
Chad;3.5;na;na;na
Chile ;98.5;99;95;0.3
China ;99.4;100;99;8
Colombia ;93.6;99.6;76;3
Republic of the Congo ;30;39.5;15;2.7
Costa Rica ;99.1;99.8;98;0
Cote d'Ivoire ;47.3;78;18;10.4
Croatia;95;na;na;na
Cuba ;97;100;87.8;0.3
Cyprus;99;na;na;na
Czech Republic;99;na;na;na
Denmark;99;na;na;na
Djibouti;62.2;na;na;na
Dominica;87.7;na;na;na
Dominican Republic ;95.9;98.4;90.4;0.4
DPR Korea ;26;36;10;17.7
DR Congo ;11.1;25;4;57
East Timor ;22;52;10.5;0.9
Ecuador ;92.2;99.6;78;1.1
Egypt ;99.4;100;99.1;0.5
El Salvador ;86.4;97.1;70;0.9
Eritrea ;32;86;5;3.4
Estonia;99;na;na;na
Ethiopia ;15.3;80;2;68.7
Finnland;99;na;na;na
France;99;na;na;na
Gabon ;36.7;40;18;0.9
Gambia;34.3;na;na;na
Georgia;95;na;na;na
Germany;99;na;na;na
Ghana ;54;85;23;11
Greece;99;na;na;na
Guatemala ;80.5;93.7;68;2.7
Guinea;20.2;na;na;na
Guinea-Bissau;53.5;na;na;na
Guyana;77.5;na;na;na
Haiti ;38.5;68.9;11.7;6
Honduras ;70.3;97.9;45;2.1
Hong Kong China (SAR);99;na;na;na
Hungary;99;na;na;na
Iceland;99;na;na;na
India ;64.5;93.1;52.5;404.5
Indonesia ;64.5;94;32;81.1
Iran ;98.4;100;95;1.2
Iraq ;85;99;57;4.2
Ireland;99;na;na;na
Israel ;99.7;100;96.4;0
Italy;99;na;na;na
Jamaica ;92;99.5;83.4;0.2
Japan;99;na;na;na
Jordan ;99.9;99.5;100;0
Kazakhstan;95;na;na;na
Kenya ;15;51.3;5;32.8
Korea Rep of;99;na;na;na
Kuwait ;100;100;100;0
Kyrgyz Republic;100;na;na;na
Laos ;55;84;42;2.7
Latvia;95;na;na;na
Lebanon ;99.9;100;99.3;0
Lesotho ;16;44;6;1.7
Liberia;1.9;na;na;na
Libya ;99.8;100;99;0
Liechtenstein;99;na;na;na
Lithuania;95;na;na;na
Luxembourg;99;na;na;na
Macedonia;95;na;na;na
Madagascar ;19;53;5;16.4
Malawi ;9;25;5.3;13
Malaysia ;99.4;100;98;0.2
Maldives;99.8;na;na;na
Mali;16.6;na;na;na
Malta;99;na;na;na
Mauritania;18.2;na;na;na
Mauritius ;99.4;100;99;0
Mexico;95;na;na;na
Moldova;98.6;na;na;na
Mongolia ;67;90;36;0.9
Montenegro;95;na;na;na
Morocco ;97;98;96;0.9
Mozambique ;11.7;21;6.3;19.3
Myanmar ;13;19;10;42.8
Namibia ;34;70;13;1.4
Nepal ;43.6;89.7;34;16.1
Netherlands Antilles ;99.9;100;99;0
Netherlans;99;na;na;na
New Zealand;99;na;na;na
Nicaragua ;72.1;95;42;1.6
Niger;9.3;na;na;na
Nigeria ;46.8;69;26;80.6
Norway;99;na;na;na
Oman ;98;99.9;93;0.1
Pakistan ;57.6;78;46;70.4
Palau;95;na;na;na
Panama ;95;na;na;na
Papua New Guinea;11;na;na;na
Paraguay ;94.5;98.8;88;0.3
Peru ;76.9;96.4;28;6.5
Philippines ;86;97;65;12.5
Poland;99;na;na;na
Portugal;99;na;na;na
Qatar ;98.7;100;70;0
Romania;95;na;na;na
Russian Federation;95;na;na;na
Rwanda;6;na;na;na
Samoa;80;na;na;na
São Tomé and Principe;48.4;na;na;na
Saudi Arabia ;99;100;95;0.2
Senegal ;42;74.7;18;7.4
Serbia;95;na;na;na
Sierra Leone;12.1;na;na;na
Singapore ;100;100;100;0
Slovakia;99;na;na;na
Slovenia;99;na;na;na
Solomon Islands;15.7;na;na;na
South Africa;70;;;
Spain;99;na;na;na
Sri Lanka ;76.6;85.8;75;4.7
St. Vincent and the Grenadines;66.8;na;na;na
Sudan ;31.4;47.5;19;27
Sweden;99;na;na;na
Switzerland;99;na;na;na
Syria ;92.7;100;84;1.5
Tajikistan;99.3;na;na;na
Tanzania ;11.5;39;2;36.8
Thailand ;99.3;100;99;0.4
Togo ;20;42;4;5.4
Tonga;95;na;na;na
Trinidad and Tobago ;99;99.9;99;0
Tunisia ;99.5;100;98.5;0.1
Turkey;95;na;na;na
Uganda ;9;42.5;4;29.1
Ukraine;95;na;na;na
United Arab Emirates ;100;100;100;0
United Kingdom;99;na;na;na
United States;99;na;na;na
Uruguay ;99.5;99.4;82.4;0
Uzbekistan;99.7;na;na;na
Vanuatu;19.1;na;na;na
Venezuela ;99;100;85;0.3
Vietnam ;89;99.6;85;9.5
Yemen ;38.2;75;22;14.2
Zambia ;18.8;47;3.3;9.9
Zimbabwe ;41.5;79;19;7.8
