country;2009;
Afghanistan;47.9;
Albania;76.6;
Algeria;72.7;
Andorra;80.7;
Angola;50.3;
Antigua and Barbuda;72.4;
Argentina;75.6;
Armenia;74;
Australia;81.7;
Austria;80.5;
Azerbaijan;70.4;
Bahamas;75.1;
Bahrain;74.8;
Bangladesh;68.3;
Barbados;76.5;
Belarus;69.8;
Belgium;79.9;
Belize;75.6;
Benin;55.2;
Bhutan;66.4;
Bolivia (Plurinational State of);66;
Bosnia and Herzegovina;75.4;
Botswana;53.2;
Brazil;72.8;
Brunei Darussalam;77.7;
Bulgaria;73;
Burkina Faso;54.5;
Burundi;49.5;
Cambodia;62.2;
Cameroon;50.6;
Canada;80.8;
Cape Verde;73.8;
Central African Republic;46.9;
Chad;48.9;
Chile;78.9;
China;73;
Colombia;73.3;
Comoros;60.3;
Republic of the Congo;56.6;
Democratic Republic of Congo;47.8;
Costa Rica;79.1;
C̫te d'Ivoire;54;
Croatia;76.3;
Cuba;78.8;
Cyprus;79.2;
Czech Republic;77.3;
Denmark;78.5;
Djibouti;57.2;
Dominica;77.3;
Dominican Republic;72.9;
Ecuador;75.3;
Egypt;72.8;
El Salvador;71.8;
Equatorial Guinea;50.5;
Eritrea;60.7;
Estonia;74.3;
Ethiopia;58.1;
Fiji;69;
Finland;79.6;
France;81.2;
Gabon;61.9;
Gambia;57.8;
Georgia;73.4;
Germany;80.1;
Ghana;63.4;
Greece;79.7;
Grenada;75.6;
Guatemala;70.7;
Guinea;53.2;
Guinea-Bissau;47.3;
Guyana;69.3;
Haiti;61.5;
Honduras;72.5;
"Hong Kong; China (SAR)";82.1;
Hungary;74;
Iceland;81.5;
India;64.7;
Indonesia;68.5;
Iran (Islamic Republic of);72.5;
Iraq;68.1;
Ireland;80.1;
Israel;81.1;
Italy;81.6;
Jamaica;72.6;
Japan;83;
Jordan;73.1;
Kazakhstan;66.3;
Kenya;55.9;
Kiribati;67.6;
Korea (Democratic People's Rep. of);68.6;
Korea (Republic of);80.3;
Kuwait;74.3;
Kyrgyzstan;67.1;
Lao People's Democratic Republic;66.7;
Latvia;72.7;
Lebanon;72.3;
Lesotho;46.9;
Liberia;55.5;
Libyan Arab Jamahiriya;74.4;
Liechtenstein;79.4;
Lithuania;71.7;
Luxembourg;79.6;
The former Yugoslav Republic of Macedonia;74.5;
Madagascar;66.2;
Malawi;52.7;
Malaysia;73.7;
Maldives;76.2;
Mali;50.6;
Malta;79.2;
Marshall Islands;71.4;
Mauritania;58;
Mauritius;73.1;
Mexico;76.5;
Micronesia (Federated States of);68.6;
Moldova (Republic of);68.7;
Monaco;82;
Mongolia;67.9;
Montenegro;74.2;
Morocco;71.6;
Mozambique;49.4;
Myanmar;64.2;
Namibia;61.7;
Nauru;79.7;
Nepal;68.1;
Netherlands;80.4;
New Zealand;80.4;
Nicaragua;73.5;
Niger;53.8;
Nigeria;51;
Norway;80.7;
Occupied Palestinian Territory;72.5;
Oman;72.7;
Pakistan;64.9;
Palau;71.2;
Panama;75.8;
Papua New Guinea;62.1;
Paraguay;72.1;
Peru;73.6;
Philippines;68.2;
Poland;75.8;
Portugal;79;
Qatar;78.1;
Romania;73.5;
Russian Federation;68.2;
Rwanda;54.7;
Saint Kitts and Nevis;72.7;
Saint Lucia;74.2;
Saint Vincent and the Grenadines;71.9;
Samoa;71.9;
San Marino;81.6;
Sao Tome and Principe;64.2;
Saudi Arabia;73.5;
Senegal;58.7;
Serbia;74.2;
Seychelles;73.2;
Sierra Leone;47;
Singapore;80.8;
Slovakia;75;
Slovenia;78.9;
Solomon Islands;67.1;
Somalia;50.7;
South Africa;51.8;
Spain;80.9;
Sri Lanka;74.6;
Sudan*;60.8;
Suriname;70;
Swaziland;47.9;
Sweden;81.1;
Switzerland;82.1;
Syrian Arab Republic;75.6;
Tajikistan;66.9;
Tanzania (United Republic of);56.6;
Thailand;73.8;
Timor-Leste;61.6;
Togo;56.2;
Tonga;72;
Trinidad and Tobago;69.7;
Tunisia;74.2;
Turkey;73.5;
Turkmenistan;64.7;
Tuvalu;66.5;
Uganda;53.1;
Ukraine;67.9;
United Arab Emirates;76.2;
United Kingdom;79.9;
United States;78.2;
Uruguay;76.6;
Uzbekistan;67.8;
Vanuatu;70.4;
Venezuela (Bolivarian Republic of);74;
Viet Nam;74.7;
Yemen;64.6;
Zambia;47.9;
Zimbabwe;48.6;
