Location,solid_fuel
Afghanistan,85
Albania,39.00
Algeria,1.00
Andorra,1.00
Angola,55.00
Antigua and Barbuda,1.00
Argentina,1.00
Armenia,19.00
Australia,1.00
Austria,1.00
Azerbaijan,7.00
Bahamas,1.00
Bahrain,1.00
Bangladesh,91.00
Barbados,1.00
Belarus,1.00
Belgium,1.00
Belize,12.00
Benin,91.00
Bhutan,40.00
Bolivia (Plurinational State of),29.00
Bosnia and Herzegovina,45.00
Botswana,37.00
Brazil,6.00
Brunei Darussalam,1.00
Bulgaria,14.00
Burkina Faso,92.00
Burundi,98.00
Cambodia,89.00
Cameroon,75.00
Canada,1.00
Cape Verde,32.00
Central African Republic,98.00
Chad,88.00
Chile,6.00
China,46.00
Colombia,14.00
Comoros,71.00
Republic of Congo,77.00
Cook Islands,1.00
Costa Rica,6.00
Croatia,8.00
Cuba,9.00
Cyprus,1.00
Czech Republic,1.00
C̫te d'Ivoire,78.00
Democratic People's Republic of Korea,91.00
Democratic Republic of the Congo,93.00
Denmark,1.00
Djibouti,13.00
Dominica,1.00
Dominican Republic,7.00
Ecuador,1.00
Egypt,1.00
El Salvador,22.00
Equatorial Guinea,51.00
Eritrea,60.00
Estonia,11.00
Ethiopia,98.00
Fiji,37.00
Finland,1.00
France,1.00
Gabon,26.00
Gambia,91.00
Georgia,46.00
Germany,1.00
Ghana,84.00
Greece,1.00
Grenada,1.00
Guatemala,57.00
Guinea,98.00
Guinea-Bissau,98.00
Guyana,7.00
Haiti,91.00
Honduras,51.00
Hungary,1.00
Iceland,1.00
India,58.00
Indonesia,55.00
Iran (Islamic Republic of),1.00
Iraq,1.00
Ireland,1.00
Israel,1.00
Italy,1.00
Jamaica,11.00
Japan,1.00
Jordan,1.00
Kazakhstan,9.00
Kenya,80.00
Kiribati,80.00
Kuwait,1.00
Kyrgyzstan,34.00
Lao People's Democratic Republic,98.00
Latvia,5.00
Lebanon,1.00
Lesotho,61.00
Liberia,98.00
Libya,1.00
Lithuania,21.00
Luxembourg,1.00
Madagascar,98.00
Malawi,98.00
Malaysia,1.00
Maldives,8.00
Mali,98.00
Malta,1.00
Marshall Islands,32.00
Mauritania,58.00
Mauritius,1.00
Mexico,14.00
Micronesia (Federated States of),41.00
Monaco,1.00
Mongolia,72.00
Montenegro,28.00
Morocco,1.00
Mozambique,95.00
Myanmar,92.00
Namibia,55.00
Nauru,1.00
Nepal,82.00
Netherlands,1.00
New Zealand,1.00
Nicaragua,54.00
Niger,98.00
Nigeria,74.00
Niue,1.00
Norway,1.00
Oman,1.00
Pakistan,64.00
Palau,1.00
Panama,18.00
Papua New Guinea,73.00
Paraguay,49.00
Peru,36.00
Philippines,50.00
Poland,1.00
Portugal,1.00
Qatar,1.00
Republic of Korea,1.00
Republic of Moldova,11.00
Romania,17.00
Russian Federation,1.00
Rwanda,98.00
Saint Kitts and Nevis,56.00
Saint Lucia,1.00
Saint Vincent and the Grenadines,1.00
Samoa,53.00
San Marino,1.00
Sao Tome and Principe,71.00
Saudi Arabia,1.00
Senegal,51.00
Serbia,32.00
Seychelles,1.00
Sierra Leone,98.00
Singapore,1.00
Slovakia,1.00
Slovenia,1.00
Solomon Islands,90.00
Somalia,98.00
South Africa,15.00
Spain,1.00
Sri Lanka,75.00
Sudan,79.00
Suriname,12.00
Swaziland,55.00
Sweden,1.00
Switzerland,1.00
Syrian Arab Republic,1.00
Tajikistan,34.00
Thailand,26.00
The former Yugoslav Republic of Macedonia,33.00
Timor-Leste,92.00
Togo,94.00
Tonga,43.00
Trinidad and Tobago,1.00
Tunisia,1.00
Turkey,1.00
Turkmenistan,1.00
Tuvalu,19.00
Uganda,98.00
Ukraine,1.00
United Arab Emirates,1.00
United Kingdom,1.00
United Republic of Tanzania,94.00
United States of America,1.00
Uruguay,1.00
Uzbekistan,11.00
Vanuatu,84.00
Venezuela (Bolivarian Republic of),1.00
Viet Nam,56.00
Yemen,33.00
Zambia,83.00
Zimbabwe,66.00